doc_id,source,category,file_path,file_name,status,priority,folder,pilot_status
msc_msc_msc_111_21_2_considerations_on_the_need_for_performance_standard_s_for_ai_systems_embedded_in_marine_austria_belgium_bulgari_4bc5c6cd,MSC,STANDARD,"C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-21-2 - Considerations on the need for performance standard(s) for AI systems  embedded in marine... (Austria, Belgium, Bulgari...).pdf","MSC 111-21-2 - Considerations on the need for performance standard(s) for AI systems  embedded in marine... (Austria, Belgium, Bulgari...).pdf",pending,3,MSC,pending
msc_msc_msc_111_21_3_iaph_cyber_resilience_guidelines_for_emerging_technologies_iaph_85d379c7,MSC,GUIDE,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-21-3 - IAPH Cyber Resilience Guidelines for Emerging Technologies (IAPH).pdf,MSC 111-21-3 - IAPH Cyber Resilience Guidelines for Emerging Technologies (IAPH).pdf,pending,3,MSC,pending
msc_msc_msc_111_21_4_assessment_of_the_development_of_the_international_quality_assessmentreview_body_iqarb_secretariat_33057bf5,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-21-4 - Assessment of the development of the International Quality AssessmentReview Body (IQARB) (Secretariat).pdf,MSC 111-21-4 - Assessment of the development of the International Quality AssessmentReview Body (IQARB) (Secretariat).pdf,pending,3,MSC,pending
msc_msc_msc_111_21_5_comments_on_document_msc_111214_pertaining_to_the_assessment_of_the_development_of_the_int_iacs_7e5e783f,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-21-5 - Comments on document MSC 111214 pertaining to the assessment of the development of the Int... (IACS).pdf,MSC 111-21-5 - Comments on document MSC 111214 pertaining to the assessment of the development of the Int... (IACS).pdf,pending,3,MSC,pending
msc_msc_msc_111_3_amendments_to_the_1974_solas_convention_and_associated_instruments_secretariat_c0188088,MSC,RULES,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-3 - Amendments to the 1974 SOLAS Convention and associated instruments (Secretariat).pdf,MSC 111-3 - Amendments to the 1974 SOLAS Convention and associated instruments (Secretariat).pdf,pending,3,MSC,pending
msc_msc_msc_111_3_1_amendments_to_the_1988_load_lines_protocol_secretariat_b3002262,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-3-1 - Amendments to the 1988 Load Lines Protocol (Secretariat).pdf,MSC 111-3-1 - Amendments to the 1988 Load Lines Protocol (Secretariat).pdf,pending,3,MSC,pending
msc_msc_msc_111_3_2_amendments_to_the_international_maritime_dangerous_goods_imdg_code_secretariat_d45b2dea,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-3-2 - Amendments to the International Maritime Dangerous Goods (IMDG) Code (Secretariat).pdf,MSC 111-3-2 - Amendments to the International Maritime Dangerous Goods (IMDG) Code (Secretariat).pdf,pending,3,MSC,pending
msc_msc_msc_111_3_3_comments_on_document_msc_1113_regarding_the_draft_amendments_to_solas_regulation_v19_rela_republic_of_korea_a2e0ce6b,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-3-3 - Comments on document MSC 1113 regarding the draft amendments to  SOLAS regulation V19 rela... (Republic of Korea).pdf,MSC 111-3-3 - Comments on document MSC 1113 regarding the draft amendments to  SOLAS regulation V19 rela... (Republic of Korea).pdf,pending,3,MSC,pending
msc_msc_msc_111_4_gbs_rectification_audit_report_of_biro_klasifikasi_indonesia_bki_secretary_general_93b2d523,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-4 - GBS rectification audit report of Biro Klasifikasi Indonesia (BKI) (Secretary-General).pdf,MSC 111-4 - GBS rectification audit report of Biro Klasifikasi Indonesia (BKI) (Secretary-General).pdf,pending,3,MSC,pending
msc_msc_msc_111_4_1_final_report_of_the_fourth_gbs_maintenance_of_verification_audit_of_14_recognized_organiza_secretary_general_c28bfc28,MSC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MSC/MSC 111-4-1 - Final report of the Fourth GBS Maintenance of Verification Audit of 14 recognized organiza... (Secretary-General).pdf,MSC 111-4-1 - Final report of the Fourth GBS Maintenance of Verification Audit of 14 recognized organiza... (Secretary-General).pdf,pending,3,MSC,pending
