doc_id,source,category,file_path,file_name,status,priority
dnv_dnv_class_2026_04_dnv_cp_0638_c0e36f7a,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0638.pdf,DNV-CP-0638.pdf,pending,3
mepc_mepc_mepc_84_5_proposal_for_the_proper_definition_of_nox_limits_from_combined_cycle_gas_turbine_ccgt_el_t_rkiye_1e63e061,MEPC,GENERAL,data/raw_pdfs/MEPC/MEPC 84-5 - Proposal for the proper definition of NOx limits from combined-cycle gas turbine (CCGT) el... (Türkiye).pdf,MEPC 84-5 - Proposal for the proper definition of NOx limits from combined-cycle gas turbine (CCGT) el... (Türkiye).pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0643_16d5e49a,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0643.pdf,DNV-CP-0643.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0432_45b19178,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0432.pdf,DNV-CP-0432.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0418_4acda348,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0418.pdf,DNV-CP-0418.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0392_f2ec5304,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0392.pdf,DNV-CP-0392.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0631_61997431,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0631.pdf,DNV-CP-0631.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0636_f75ddd9b,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0636.pdf,DNV-CP-0636.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0428_453cbf1e,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0428.pdf,DNV-CP-0428.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0501_df0d88ac,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0501.pdf,DNV-CP-0501.pdf,pending,3
