doc_id,source,category,file_path,file_name,status,priority,folder,pilot_status
dnv_dnv_class_2026_04_dnv_cp_0149_2c2639fa,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0149.pdf,DNV-CP-0149.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cg_0564_2a1bee2d,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0564.pdf,DNV-CG-0564.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cg_0137_a08659ca,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0137.pdf,DNV-CG-0137.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0641_2e31d6a1,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0641.pdf,DNV-CP-0641.pdf,pending,3,dnv-class_2026-04,pending
mepc_mepc_mepc_84_1_for_the_eighty_fourth_session_of_the_marine_environment_protection_committee_to_be_held_fr_secretary_general_34f86977,MEPC,GENERAL,"C:/projects/MaritimeRAG/data/raw_pdfs/MEPC/MEPC 84-1 - for the eighty-fourth session of the Marine Environment Protection Committee,to be held fr... (Secretary-General).pdf","MEPC 84-1 - for the eighty-fourth session of the Marine Environment Protection Committee,to be held fr... (Secretary-General).pdf",pending,3,MEPC,pending
mepc_mepc_mepc_84_1_1_annotations_to_the_provisional_agenda_and_provisional_timetable_secretariat_8fcdb488,MEPC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MEPC/MEPC 84-1-1 - Annotations to the provisional agenda and provisional timetable (Secretariat).pdf,MEPC 84-1-1 - Annotations to the provisional agenda and provisional timetable (Secretariat).pdf,pending,3,MEPC,pending
mepc_mepc_mepc_84_1_rev_1_session_commences_at_0930_utc_1_on_monday_27_april_2026_secretariat_58cb18d5,MEPC,GENERAL,"C:/projects/MaritimeRAG/data/raw_pdfs/MEPC/MEPC 84-1-Rev.1 - Session commences at 0930 (UTC+1) on Monday, 27 April 2026 (Secretariat).pdf","MEPC 84-1-Rev.1 - Session commences at 0930 (UTC+1) on Monday, 27 April 2026 (Secretariat).pdf",pending,3,MEPC,pending
mepc_mepc_mepc_84_10_outcome_of_ppr_13_secretariat_e3e2f57c,MEPC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MEPC/MEPC 84-10 - Outcome of PPR 13 (Secretariat).pdf,MEPC 84-10 - Outcome of PPR 13 (Secretariat).pdf,pending,3,MEPC,pending
mepc_mepc_mepc_84_10_1_comments_on_the_outcome_of_ppr_13_and_the_importance_of_member_states_notifying_the_organi_bimco_767f82e2,MEPC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MEPC/MEPC 84-10-1 - Comments on the outcome of PPR 13 and the importance of Member States notifying the Organi... (BIMCO).pdf,MEPC 84-10-1 - Comments on the outcome of PPR 13 and the importance of Member States notifying the Organi... (BIMCO).pdf,pending,3,MEPC,pending
mepc_mepc_mepc_84_10_2_comments_on_the_draft_amendments_to_the_nox_technical_code_2008_iacs_b8b63785,MEPC,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/MEPC/MEPC 84-10-2 - Comments on the draft amendments to the NOx Technical Code 2008 (IACS).pdf,MEPC 84-10-2 - Comments on the draft amendments to the NOx Technical Code 2008 (IACS).pdf,pending,3,MEPC,pending
